"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Адмиралтейский";"Концертный зал";"Концертный зал Дома композиторов";"Концертный зал Дома композиторов";"Засосова Светлана Ивановна";"190000, г.Санкт-Петербург, Большая Морская улица, дом 45, литер А";"571-35-48";"";"7812024110";"1037858011432";"";"unikomp@inbox.ru";"http://www.spb-composers.ru/concert";"Филиал";"571-35-48";"190000, г.Санкт-Петербург, Большая Морская улица, дом 45";"";"Союз композиторов Санкт-Петербурга";"Невский проспект";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Концертный зал";"Концертный зал им. А. К. Глазунова";"Концертный отдел Малого зала имени А. К. Глазунова";"Волчек Лидия Львовна";"190000, г.Санкт-Петербург, Театральная площадь, дом 3, литер А";"571-10-74, 571-05-06";"";"7812036476";"1027810336762";"";"hall@conservatory.ru";"www.conservatory.ru";"Филиал";"";"190000, г.Санкт-Петербург, Театральная площадь, дом 3";"";"Санкт-Петербургская государственная консерватория им. Н.А. Римского-Корсакова";"Сенная Площадь, Садовая";"";"муниципальное образование Адмиралтейский округ";
"Центральный";"Концертный зал";"Мальтийская капелла";"Мальтийская капелла. Архитектурный комплекс «Воронцовский дворец»";"";"191011, г.Санкт-Петербург, Садовая улица, дом 26, литер Д";"610-33-28, 232-02-96";"";"7825336815";"1037865008720";"";"";"";"Филиал";"";"191011, г.Санкт-Петербург, Садовая улица, дом 26";"";"Санкт-Петербургское суворовское военное училище";"Гостиный двор";"Вход через контрольно-пропускной пункт Суворовского военного училища.";"муниципальный округ №78";
"Адмиралтейский";"Концертный зал";"Фольклорный центр ""Николаевский""";"Общество с ограниченной ответственностью ""Арт-центр Николаевский"" (Фольклорный центр ""Николаевский"")";"Ачкасова Татьяна Владимировна";"";"571-71-10, 571-93-04";"";"7810115154";"1027804889700";"";"folkshow@bk.ru";"";"";"";"г.Санкт-Петербург, площадь Труда, дом 4";"";"Негосударственное";"Невский проспект";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Филармония";"Дом музыки";"Федеральное государственное учреждение культуры ""Дом музыки""";"Анисимов Олег Геннадьевич (Ролдугин Сергей Павлович-худ. рук.)";"190121, г.Санкт-Петербург, набережная реки Мойки, дом 122, литер А";"702-60-96";"Пн.-чт с 10.00 до 18.00, пт.10.00 - 16.45";"7839328518";"1067847185911";"";"info@spdm.ru";"info@spdm.ru";"";"";"Санкт-Петербург, Реки Мойки наб, д. 122, корп. А";"";"Министерство культуры Российской Федерации";"Садовая, Сенная площадь, Спасская";"";"муниципальное образование Коломна";
"Центральный";"Концертный зал";"Клуб JFC Jazz Club";"Клуб JFC Jazz Club. ООО ""Петропавловский Джазовый Фестиваль""";"Туниманов Александр Евгеньевич";"191123, г.Санкт-Петербург, Шпалерная улица, дом 33, литер Б";"272-98-50";"Открыт ежедневно с 19.00 до 23.00";"7825510319";"1037843125528";"";"jazz33@yandex.ru, jazz-time@mail.ru";"http://jfc-club.spb.ru/";"";"";"Санкт-Петербург, Шпалерная ул, д. 33, Литер Б";"";"ООО ""Петропавловский Джазовый Фестиваль""";"Чернышевская";"";"муниципальное образование Литейный округ";
"Калининский";"Концертный зал";"Развлекательный комплекс «Гигант-Холл»";"Общество с ограниченной ответственностью ""Гигант-холл""";"Коробецкий Алексей Анатольевич";"195197, г.Санкт-Петербург, Кондратьевский проспект, дом 44, литер А";"321-65-65, 940-23-99, 951-14-78";"С 12.00 до 2.00";"7804454021";"1117847031136";"";"";"http://www.gigant-hall.ru/";"";"";"Санкт-Петербург, Кондратьевский пр-кт, д. 44";"";"Негосударственный";"Площадь Ленина";"";"";
"Выборгский";"Филармония";"Государственная филармония Санкт-Петербурга для детей и юношества";"Санкт-Петербургское государственное учреждение ""Государственная филармония Санкт-Петербурга для детей и юношества""";"Волоцкая Татьяна Николаевна т.295-80 -09";"194156, г.Санкт-Петербург, Большой Сампсониевский проспект, дом 79, литера А, помещение №1Н, 2Н, 3Н";"295-42-67, 295-80 -09";"";"7803066001";"1037843132360";"";"filarmonija@mail.ru, gdf@kkult.gov.spb.ru";"http://www.filspb.ru";"";"295-21-93";"194156, г.Санкт-Петербург, Большой Сампсониевский проспект, дом 79, литера А";"ГИС СЦ";"Комитет по культуре";"Лесная";"";"муниципальное образование Сампсониевское";
"Адмиралтейский";"Концертный зал";"Киноконцертный зал ''Космонавт''";"Киноконцертный зал ''Космонавт''";"";"198013, г.Санкт-Петербург, Бронницкая улица, дом 24, литер А";"922–1300";"12.00- 21.00";"";"";"";"";"www.kosmonavt.su";"";"";"";"";"";"Технологический институт";"";"муниципальный округ Семеновский";
"Центральный";"Концертный зал";"БКЗ ""Октябрьский""";"Государственное учреждение ""Большой концертный зал ""Октябрьский""";"Лавринович Эмма Васильевна";"191036, г.Санкт-Петербург, Лиговский проспект, дом 6, литера А,";"275-12-86, 275-1300, 275-1273, 275-1302";"кассы: работа: ПН - ПТ: 11-20 час. СБ, ВС: 11-19 час.";"7830001620";"1027809238753";"";"e-mail-direktor@bkz.sp.ru";"http://www.bkz.ru/afisha.html";"";"327-30-72";"191036, г.Санкт-Петербург, Лиговский проспект, дом 6, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Восстания";"";"муниципальное образование Смольнинское";
"Центральный";"Филармония";"Большой зал филармонии";"Федеральное государственное учреждение культуры ""Санкт-Петербургская академическая филармония им. Д.Д. Шостаковича""";"Черкасов Илья Сергеевич";"191011, г.Санкт-Петербург, Михайловская улица, дом 2/9, литер А";"710-4290, 710- 4085, 710- 4257";"Часы работы кассы с 11.00 до 19.30, перерыв с 15.00 до 16.00";"7830002409";"1037843008983";"";"mail@philharmonia.spb.ru";"http://www.philharmonia.spb.ru";"Основное, есть филиал";"571- 2126";"Санкт-Петербург, Михайловская ул, д. 2/9";"";"Федеральное государственное учреждение культуры";"Невский проспект, Гостинный двор";"";"муниципальное образование Дворцовый округ";
"Центральный";"Филармония";"Малый зал филармонии";"Федеральное государственное учреждение культуры ""Санкт-Петербургская академическая филармония им. Д.Д. Шостаковича""";"Локштанова Алла Станиславовна";"191011, г.Санкт-Петербург, Невский проспект, дом 30, литер А";"312-45-85, 571- 83-33 (касса), 571-42-37";"Часы работы кассы с 11.00 до 20.00, перерыв с 15.00 до 16.00";"7830002409";"1037843008983";"";"mail@philharmonia.spb.ru";"http://www.philharmonia.spb.ru";"Филиал";"";"Санкт-Петербург, Михайловская ул, д. 2/9";"";"Санкт-Петербургская академическая филармония им. Д. Д. Шостаковича";"Гостинный двор, Невский проспект";"";"муниципальное образование Дворцовый округ";
"Центральный";"Филармония";"Капелла Санкт-Петербурга";"Санкт-Петербургское государственное учреждение культуры ""Государственная академическая капелла Санкт-Петербурга""";"Хомова Ольга Сергеевна";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 20, литера А,";"314-11-53";"";"7825010179";"1037843107202";"";"capella@capellaspb.ru";"http://glinka-capella.ru/";"";"710-69-13";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 20, литера А,";"ГИС СЦ";"Комитет по культуре";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Центральный";"Филармония";"Филармония джазовой музыки";"Санкт-Петербургское государственное учреждение ""Санкт-Петербургская филармония джазовой музыки""";"Гнездина Бронислава Гершевна";"191180, г.Санкт-Петербург, Загородный проспект, дом 27/21, литера А";"764-85-65, 314-46-37, 764-98-43";"";"7808009039";"1037843136792";"";"jazz-hall@peterlink.ru";"http://www.jazz-hall.spb.ru/";"";"764-98-43";"191180, г.Санкт-Петербург, Загородный проспект, дом 27/21, литера А";"ГИС СЦ";"Комитет по культуре";"Звенигородская, Достоевская, Владимирская";"";"муниципальное образование Владимирский округ";
"Центральный";"Филармония";"Государственный Андреевский оркестр";"Санкт-Петербургское государственное учреждение культуры ""Государственный академический русский оркестр имени В.В. Андреева""";"Хохлов Дмитрий Дмитриевич";"г.Санкт-Петербург, улица Рубинштейна, дом 3, литер А, помещение №6н";"575-55-29";"";"7826694838";"1027810231460";"";"orkestr-andreeva@mail.ru";"www.andreyev-orchestra.ru";"";"575-56-14";"190195, г.Санкт-Петербург, Адмиралтейский проезд, дом 2,";"ГИС СЦ";"Комитет по культуре";"Маяковская, Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
"Центральный";"Филармония";"Симфонический Оркестр ""Классика""";"Санкт-Петербургское Учреждение Культуры ""Санкт-Петербургский государственный симфонический оркестр ""Классика""";"Канторов Александр Яковлевич";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 48, корпус 4, литера А, строение -, помещение №30-Н";"346-40-54, 312-96-63";"";"7805021704";"7805021704";"";"klassikaspb@yandex.ru";"www.klassika-spb.ru";"";"346-40-54";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 48, корпус 4, литера А, строение -, помещение №30-Н";"ГИС СЦ";"Комитет по культуре";"Невский проспект";"";"муниципальный округ №78";
"Московский";"Спортивно-концертный комплекс";"Петербургский СКК";"Федеральное государственное унитарное предприятие ""Петербургский спортивно-концертный комплекс""";"Скляренко Николай Александрович";"г.Санкт-Петербург, проспект Юрия Гагарина, дом 8, литер А";"388-12-11, 378-17-10";"";"7810202375";"1037821017750";"25000";"info@spbckk.ru";"http://www.spbckk.ru/";"";"388-01-07";"г.Санкт-Петербург, проспект Юрия Гагарина, дом 8";"";"";"Парк Победы";"";"муниципальное образование Гагаринское";
"Невский";"Спортивно-концертный комплекс";"Ледовый дворец";"Открытое акционерное общество ""Дворец Спорта"". Ледовый дворец.";"Изотов Сергей Михайлович";"193231, г.Санкт-Петербург, проспект Пятилеток, дом 1, литер А";"718-66-20, 718-66-22, 718-63-12";"";"7811070379";"1037825019990";"12300";"info@spbckk.ru";"http://www.newarena.spb.ru/";"";"";"Санкт-Петербург, Пятилеток пр-кт, д. 1, литер А";"";"Комитет по управлению городским имуществом";"Проспект Большевиков";"";"муниципальный округ Правобережный";
"Петроградский";"Спортивно-концертный комплекс";"Спортивный комплекс ""Юбилейный""";"Общество с ограниченной ответственностью Спортивный комплекс ""Юбилейный""";"Евстрахин Александр Александрович";"г.Санкт-Петербург, проспект Добролюбова, дом 18, литер А";"498-60-33, 323-93-04";"Режим работы касс: пн-пт: 11.00-19.00 сб-вс: в дни проведения мероприятий";"7813130513";"1037828019140";"";"ubarena@mail.ru";"http://www.yubi.ru/";"";"";"Санкт-Петербург, Добролюбова пр-кт, д. 18";"";"Комитет по управлению городским имуществом Санкт-Петербурга";"Спортивная";"";"муниципальный округ Введенский";
