"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Наличие ЕМТС";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Пушкинский";"Музей";"Китайская деревня";"Александровский парк, Китайская деревня";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Александровский парк, литер АБ";"466-66-74";"";"7820012503";"1027809014958";"";"info@tzar.ru";"http://www.tzar.ru/alexander_park";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"";
"Курортный";"Музей";"Музей-усадьба Репина ''Пенаты''";"Музей-усадьба И.Е. Репина ''Пенаты'', филиал Научно-исследовательского музея Российской академии художеств";"Бородина Татьяна Петровна";"Санкт-Петербург, поселок Репино, Приморское шоссе, дом 411, литер А";"323-64-96, 432-08-28, 432-08-34";"Ежедневно с 10.30 до 18.00 - летом, с 10.30 до 17.00 - зимой,  кроме понедельника и вторника";"7801047324";"1037800002547";"";"M267@mail.museum.ru, penates.m";"http://www.museum.ru/M267";"Филиал";"";"432-08-28";"199034, г.Санкт-Петербург, Университетская набережная, дом 17, литер Ц";"";"Научно-исследовательский музей Российской Академии художеств";"";"";"поселок Репино";
"Курортный";"Музей";"Музейный комплекс в Разливе";"Санкт-Петербургское Государственное Учреждение Культуры ""Историко-культурный музейный комплекс в Разливе""";"Коваленко Наталья Степановна";"Санкт-Петербург, город Сестрорецк, улица Емельянова, дом 3, литер Ж";"434-61-45, 437-30-98";"Ежедневно с 11:00 до 19:00.";"7843301928";"1057811776417";"";"Shalash1928@rambler.ru";"http://www.razlivmuseum.spb.ru/";"Основное, есть филиал";"";"";"Санкт-Петербург, Разлив ст, Емельянова ул, д. 3";"";"Комитет по управлению городским имуществом";"";"";"город Сестрорецк";
"Петродворцовый";"Музей";"Павильон ""Катальная горка""";"Павильон ""Катальная горка"". Дворцово-парковый ансамбль Ораниенбаум";"Воротников Виктор Андреевич";"189510, Санкт-Петербург, город Ломоносов, Дворцовый проспект, дом 48а, литер А";"422-37-58, 422-47-96, 423-16-42";"9:00-19:00 зимой, 9.00-20.00 летом";"7823000030";"1037841003133";"";"";"www.oranienbaum.org";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"ж/д станция ""Ораниенбаум-1""";"";"город Ломоносов";
"Петродворцовый";"Музей";"Большой (Меншиковский) дворец";"Ораниенбаумский Большой (Меншиковский) дворец. Дворцово-парковый ансамбль Ораниенбаум";"Воротников Виктор Андреевич";"188512, Санкт-Петербург, город Ломоносов, Верхний парк, дом 1, литер А";"422-37-53, 423-16-37";"9:00-19:00 зимой, 9.00-20.00 летом";"7823000030";"1037841003133";"";"";"www.oranienbaum.org";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"ж/д станция ""Ораниенбаум-1""";"";"город Ломоносов";
"Петродворцовый";"Музей";"Дворец ""Монплезир""";"Дворец ""Монплезир"". Государственный музей заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петродворец, Нижний парк, литер Р";"427-91-29";"Открыт: 10.30- 18.00. Закрыт на зимний период";"7819012731";"1027808916442";"";"";"http://www.peterhof.ru/?m=16&p=35";"Филиал";"";"427-93-30";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"";
"Колпинский";"Музей";"Музей истории ОАО ""Ижорские заводы""";"Музей истории ОАО ""Ижорские заводы""";"Бурова Вера Алексеевна";"196653, Санкт-Петербург, город Колпино, Советский бульвар, дом 29, литер А";"461-15-43";"";"7817037804";"1027808755457";"";"";"";"";"";"";"196653, Санкт-Петербург, город Колпино, Советский бульвар, дом 29, литер А";"";"Культурно-досуговый центр ""Ижорский""";"";"";"город Колпино";
"Московский";"Музей";"Музей университета гражданской авиации и авиапредприятия ""Пулково""";"Объединённый музей Санкт-Петербургского государственного университета гражданской авиации и авиапредприятия ""Пулково""";"Сафронова Натэла Михайловна";"196210, г.Санкт-Петербург, улица Пилотов, дом 38, литер А";"704-15-20, 704-15-19";"Ежедневно с 10.00 до 17.00, кроме субботы и воскресенья Внимание: только по предварительной договоренности";"7810251630";"1037821044150";"";"cecltd@mail.wplus.net";"http://www.academiaga.ru/index.php?id=11&lang=0";"Филиал";"";"704-15-18";"г.Санкт-Петербург, улица Пилотов, дом 38";"";"СПб государственный университет гражданской авиации";"Московская";"";"муниципальный округ Пулковский меридиан";
"Пушкинский";"Музей";"Павловский Дворец";"Павловский Дворец. Государственный музей-заповедник""Павловск""";"Третьяков Николай Сергеевич";"196621, Санкт-Петербург, город Павловск, Садовая улица, дом 20, литер А";"452-15-36, 452-15-36, 470-21-55, 470-21-56, 470-65-36, 470-69-66";"С 10.00 до 18.00";"7822002853";"1027809016234";"";"pavlovsk@mail.ru";"http://www.pavlovskmuseum.ru/";"Филиал";"";"";"196621, Санкт-Петербург, город Павловск, Садовая улица, дом 20,";"";"Государственный музей-заповедник""Павловск""";"Ж/д станция ""Павловск""";"";"город Павловск";
"Центральный";"Музей";"Музей-квартира Римского-Корсакова";"Музей-квартира Римского-Корсакова. Государственное учреждение ""Санкт-Петербургский государственный музей театрального и музыкального искусства""";"Костенко Нина Владимировна (Метелица Наталья Ивановна)";"191002, г.Санкт-Петербург, Загородный проспект, дом 28, литер Б";"315-38-75, 315-39-75, 713-32-08";"";"7825446889";"1047839007589";"";"info@theatremuseum.ru, rimkornik@mail.ru";"www.allmuseums.spb.ru";"Филиал";"";"713-32-08";"г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"";"Санкт-Петербургский государственный музей театрального и музыкального искусства";"Владимирская, Достоевская, Звенигородская";"";"муниципальное образование Владимирский округ";
"Центральный";"Музей";"Музей новой академии изящных искусств";"Музей новой академии изящных искусств. Арт центр ""Пушкинская-10""";"Новикова Ксения";"191040, г.Санкт-Петербург, Пушкинская улица, дом 10, литер А (вход с Лиговского пр., 53, офис 405, Флигель B).";"272-82-22";"суббота и воскресенье, с 15.00 до 19.00.";"7808019238";"1037858007054";"";"p-10@mail.ru";"http://www.p-10.ru/";"";"";"272-82-22";"191040, г.Санкт-Петербург, Пушкинская улица, дом 10, литер А";"";"РОО Товарищество ""Свободная культура""";"Маяковская, Площадь Восстания";"";"муниципальное образование Владимирский округ";
"Адмиралтейский";"Музей";"Военно-медицинский музей МО РФ";"Военно-медицинский музей Министерства обороны Российской Федерации";"Будко Анатолий  Андреевич";"190000, г.Санкт-Петербург, Лазаретный переулок, дом 2, литер А";"315-73-28, 315-72-87, 713-52-15";"";"7826001561";"1037851010812";"";"medar@milmed.spb.ru, M170@mail.museum.ru";"http://milmed.spb.ru/arhiv.html, www.museum.ru/M170";"";"";"";"190000, г.Санкт-Петербург, Лазаретный переулок, дом 2, литер А";"";"Министерство Обороны РФ";"Пушкинская";"Федеральное государственное учреждение культуры и искусства МО РФ";"муниципальный округ Семеновский";
"Центральный";"Музей";"Государственный музей городской скульптуры";"Санкт-Петербургское государственное учреждение ""Государственный музей городской скульптуры""";"Тимофеев Владимир Никлаевич";"191167, г.Санкт-Петербург, Невский проспект, дом 179/2, литера А , (Чернорецкий пер., 2 )";"2742635";"";"7825440534";"1037843042632";"";"monument@gmgs.spb.ru";"http://www.gmgs.ru/, www.museum.ru/M111";"Основное, есть филиал";"";"2742635";"191167, г.Санкт-Петербург, Невский проспект, дом 179/2, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Александра Невского";"";"муниципальное образование Лиговка-Ямская";
"Московский";"Музей";"Музей Академии Ветеринарной медицины";"Музей кафедры патологической анатомии Санкт-Петербургской государственной академии ветеринарной медицины";"Паланов Алексей Петрович";"196084, г.Санкт-Петербург, Черниговская улица, дом 5, литер А";"298-13-78, 294-11-76";"Ежедневно с 9.00 до 17.00, кроме субботы и воскресенья, только по предварительной договоренности";"7810232965";"1027804902685";"";"M238@mail.museum.ru";"www.museum.ru/M238";"Филиал";"";"";"196084, г.Санкт-Петербург, Черниговская улица, дом 5, литер А";"";"Санкт-Петербургская Государственная Академия Ветеринарной Медицины";"Московские ворота";"";"муниципальное образование Московская застава";
"Центральный";"Музей";"Музей Хлеба";"Государственное учреждение культуры ""Санкт-Петербургский музей Хлеба""";"Яковлева Марина Дмитриевна";"191040, г.Санкт-Петербург, Лиговский проспект, дом 73, литера А, строение 5Н,";"764-11-10";"";"7808018523";"1067847142219";"";"musbread@lek.ru";"";"";"";"764-13-59";"191040, г.Санкт-Петербург, Лиговский проспект, дом 73, литера А, строение 5Н,";"ГИС СЦ";"Комитет по культуре";"Лиговский проспект, Площадь Восстания, Владимирская";"";"муниципальное образование Владимирский округ";
"Выборгский";"Музей";"Музей-памятник ""Сампсониевский собор""";"Музей-памятник «Сампсониевский собор». Государственный музей-памятник «Исаакиевский собор»";"Буров Николай Витальевич";"194044, г.Санкт-Петербург, Большой Сампсониевский проспект, дом 41, литер А";"294-57-51, 248-87-51, 541-89-30, 542-33-77, 315-43-61";"С 16 сентября по 30 апреля музей работает с 11.00 до 19.00. С 1 мая по 15 сентября музей работает с 10.00 до 19.00";"7825416563";"1037858007241";"";"st.sampon@mail.ru";"www.cathedral.ru";"Основное, есть филиал";"";"541-89-30, 312-28-11";"Санкт-Петербург, Грибоедова Канала наб, д. 2-а, пом. 8";"";"Музейный комплекс Государственный музей-памятник «Исаакиевский собор»";"Выборгская";"Памятник Полтавской победы 1709 год";"муниципальное образование Сампсониевское";
"Пушкинский";"Музей";"Музей Екатерининского двореца";"Музей Екатерининского двореца";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 3, литер А";"465-20-16, 465-20-18, 465-53-08, 572-22-27";"Кассы работают с 10.00 до 17.00 час.";"7820012503";"1027809014958";"";"";"";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"город Пушкин";
"Пушкинский";"Музей";"Музей Екатерининского двореца";"Музей Екатерининского двореца";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 1, литер А";"465-20-16, 465-20-18, 465-53-08, 572-22-27";"Кассы работают с 10.00 до 17.00 час.";"7820012503";"1027809014958";"";"";"";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"город Пушкин";
"Пушкинский";"Музей";"Екатерининский дворец";"Екатерининский дворец. Государственный Музей-заповедник ""Царское Село""";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 9, литер А";"465-20-16, 465-20-18, 465-53-08, 572-22-27";"Кассы работают с 10.00 до 17.00 час. Выходные дни: вторник и последний понедельник каждого месяца.";"7820012503";"1027809014958";"";"";"http://tzar.ru/museums/palaces/c_atherine";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"город Пушкин";
"Пушкинский";"Музей";"Запасной дворец";"Запасной дворец. Государственный Музей-заповедник ""Царское Село""";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 22, литер А";"465-54-24";"";"7820012503";"1027809014958";"";"";"";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"город Пушкин";
"Петроградский";"Музей";"Прокурорский дом";"Прокурорский дом. Петропавловская крепость. Государственный Музей истории Санкт-Петербурга.";"Колякин Александр Николаевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3, литер Ц";"230-03-29, 238-05-11, 238-06-52, 498-07-01";"";"7813080598";"1037828028677";"";"publ@spbmuseum.ru, mail@spbmus";"www.spbmuseum.ru";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Горьковская";"";"муниципальный округ №59";
"Петроградский";"Музей";"Петропавловская крепость";"Петропавловская крепость. Санкт-Петербургское государственное учреждение культуры ""Государственный музей истории Санкт-Петербурга""";"Колякин Александр Николаевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3,";"498-05-11";"";"7813080598";"1037828028677";"";"e-mail gmi@spbmuseum.ru";"www.spbmuseum.ru";"Филиал";"";"498-02-43";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3,";"ГИС СЦ";"Государственный музей истории Санкт-Петербурга";"Горьковская";"Петропавловская крепость входит в музейный комплекс ""Государственный музей истории Санкт-Петербурга""";"муниципальный округ №59";
"Петроградский";"Музей";"Комендантский дом";"Комендантский дом. Петропавловская крепость. Государственный Музей истории Санкт-Петербурга.";"Колякин Александр Николаевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3, литер А";"230-03-29, 238-05-11, 238-06-52, 498-07-01";"";"7813080598";"1037828028677";"";"publ@spbmuseum.ru, mail@spbmus";"www.spbmuseum.ru";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Горьковская";"";"муниципальный округ №59";
"Петроградский";"Музей";"Ботный домик";"Ботный домик. Петропавловская крепость. Государственный Музей истории Санкт-Петербурга.";"Колякин Александр Николаевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3, литер Ч";"230-03-29, 238-05-11, 238-06-52, 498-07-01";"";"7813080598";"1037828028677";"";"publ@spbmuseum.ru, mail@spbmus";"www.spbmuseum.ru";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Горьковская";"";"муниципальный округ №59";
"Петроградский";"Музей";"Трубецкой бастион";"Трубецкой бастион. Петропавловская крепость. Государственный Музей истории Санкт-Петербурга.";"Колякин Александр Николаевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3, литер Т";"230-03-29, 238-05-11, 238-06-52, 498-07-01";"";"7813080598";"1037828028677";"";"publ@spbmuseum.ru, mail@spbmus";"www.spbmuseum.ru";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Горьковская";"";"муниципальный округ №59";
"Петроградский";"Музей";"Казначейство";"Казначейство. Петропавловская крепость. Государственный Музей истории Санкт-Петербурга.";"Колякин Александр Николаевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3, литер К";"230-03-29, 238-05-11, 238-06-52, 498-07-01";"";"7813080598";"1037828028677";"";"publ@spbmuseum.ru, mail@spbmus";"www.spbmuseum.ru";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Горьковская";"";"муниципальный округ №59";
"Центральный";"Музей";"Владимирский дворец";"Дворец Великого Князя Владимира Александровича (Владимирский дворец)";"Никитин Григорий Васильевич";"191186, г.Санкт-Петербург, Миллионная улица, дом 27, литер А (Дворцовая набережная, 26 )";"315-88-14";"";"7825007049";"1027809208514";"";"";"";"";"";"";"Санкт-Петербург, Дворцовая наб, д. 26";"";"Учреждение Российской академии наук Дом ученых им. М. Горького РАН";"Невский проспект, Канал Грибоедова";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Государственный музей ""Смольный""";"Санкт-Петербургское учреждение культуры ""Историко-мемориальный музей ""Смольный""";"Тютчева Валентина Сергеевна";"191060, г.Санкт-Петербург, площадь Пролетарской Диктатуры, дом д.3, корпус -, литера -, строение -, помещение №302,300";"576-77-46";"";"7825453621";"1047844026933";"";"smolny@museum.gov.spb.ru";"";"Основное, есть филиал";"";"576-73-21";"191060, г.Санкт-Петербург, площадь Пролетарской Диктатуры, дом д.3, корпус -, литера -, строение -, помещение №302,300";"ГИС СЦ";"Комитет по культуре";"Площадь Восстания, Чернышевская";"";"муниципальное образование Смольнинское";
