"Район";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Количество мест";"Количество мест";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Адмиралтейский";"Мариинский театр";"Федеральное государственное учреждение культуры ""Государственный академический Мариинский театр""";"Гергиев Валерий Абисалович";"190000, г.Санкт-Петербург, Театральная площадь, дом 1, литер А";"326-41-41";"Садовая, Невский проспект";"7812024600";"1027810251006";"";"";"tickets@mariinsky.ru";"http://www.mariinsky.ru/";"Основное, есть филиал";"";"Санкт-Петербург, Театральная пл, д. 1";"";"Правительство РФ";"";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Детский музыкальный театр ""Карамболь""";"Санкт-Петербургское государственное учреждение Детский музыкальный театр ""Карамболь""";"Брондз Ирина Дмитриевна";"198103, г.Санкт-Петербург, Рижский проспект, дом 3, литер Л";"575-21-42, 575-12-44, 310-78-59, 713-40-71";"";"7826673877";"1027810302563";"";"";"teatr-karambol@yandex.ru";"СПб Детский музыкальный театр ""Карамболь""";"";"713-40-71";"Санкт-Петербург, Римского-Корсакова пр-кт, д. 11";"";"Территориальное управление администрации адмиралтейского р-на г.СПб";"Технологический Институт";"Здание театра «Карамболь» в настоящее время находится на реконструкции";"муниципальный округ Екатерингофский";
"Кировский";"Театр Драматических Импровизаций";"Санкт-Петербургская благотворительная общественная организация ""Театр Драматических Импровизаций""";"Подервянский Павел Павлович";"г.Санкт-Петербург, проспект Стачек, дом 72, литер А";"8-921-097-28-17";"";"7813112232";"1037858025160";"";"";"info@drim.spb.ru";"http://www.drim.spb.ru/";"";"";"Санкт-Петербург, Петропавловская ул, д. 6, пом. 29";"";"Частный";"Кировский завод";"";"муниципальный округ №28";
"Адмиралтейский";"Шоу-театр ""Родина""";"Шоу-театр ""Родина"". ООО ""Креатив""";"Факалкин Дмитрий Вячеславович (Елизавета Родина )";"г.Санкт-Петербург, улица Глинки, дом 3-5-7, литер А, , офис 5.";"314-28-63, 312-50-74, 715-95-07, 922-37-64";"";"6731071569";"1086731014798";"";"";"info@showtheatre.spb.ru";"www.showtheatre.spb.ru";"Основное и единственное";"314-28-63";"Санкт-Петербург, Глинки ул, д. 3-5-7, пом. 5";"";"ООО ""Креатив""";"Невский проспект";"Организация свадеб и банкетов, детских праздников и вечеринок, презентаций и PR-акций";"муниципальное образование Адмиралтейский округ";
"Петроградский";"Театр ""Лицедеи""";"Закрытое акционерное общество Клоун-мим театр ""Лицедеи""";"Петрушанский Борис Хаймович";"г.Санкт-Петербург, улица Льва Толстого, дом 9, литер А";"635-70-03";"";"7803075856";"1037843134339";"404";"404";"";"http://www.licedei.com/pages/54/";"";"";"Санкт-Петербург, Чайковского ул, д. 59";"";"Частный";"Петроградская";"";"муниципальный округ №61";
"Кировский";"Театр эстрадной песни ""Зурбаган-Шоу""";"Театр эстрадной песни ""Зурбаган-Шоу"" ДК им.Горького";"";"г.Санкт-Петербург, площадь Стачек, дом 4, литер А";"786-66-95";"";"7805036806";"1027802743979";"";"";"";"";"";"";"г.Санкт-Петербург, площадь Стачек, дом 4, литер А";"";"Дворец Культуры им.А.М.Горького";"Нарвская";"";"муниципальный округ №29";
"Кировский";"Драматический театральный коллектив ""Солнышко""";"Солнышко драматический театральный коллектив";"";"г.Санкт-Петербург, площадь Стачек, дом 4, литер А";"786-66-95";"";"7805036806";"1027802743979";"";"";"";"";"Филиал";"";"г.Санкт-Петербург, площадь Стачек, дом 4, литер А";"";"Дворец Культуры им.А.М.Горького";"";"";"муниципальный округ №29";
"Кронштадтский";"Драматический театр Балтийского флота";"Федеральное государственное учреждение культуры и искусства ""Драматический театр Балтийского флота"" Министерства обороны Российской  Федерации";"Шупик Петр Михайлович";"197760, Санкт-Петербург, город Кронштадт, Макаровская улица, дом 3, литер А";"236-75-40";"";"7818005266";"1077847023550";"";"";"";"";"";"236-75-40";"Министерства обороны Российской  Федерации";"";"Министерства обороны Российской  Федерации";"";"";"город Кронштадт";
"Петродворцовый";"Театр «Странствующие куклы господина Пэжо»";"ООО Театр «Странствующие куклы господина Пэжо»";"Скотников Олег Александрович";"Санкт-Петербург, город Петродворец, Санкт-Петербургский проспект, дом 58";"+7 (921) 963-62-70, 973-95-34, 420-67-11";"";"7819308707";"1089847175220";"";"";"pejo@mail.ru";"http://pejo.ru/ru/teatr";"Основное и единственное";"";"Санкт-Петербург, Петергоф г, Санкт-Петербургский пр-кт, д. 60, лит.А";"";"Частный";"";"";"город Петродворец";
"Выборгский";"Театр игр и представлений ""Светлица""";"Театр игр и представлений ""Светлица""";"Шамов Константин Юрьевич";"г.Санкт-Петербург, улица Есенина, дом 40, корпус 2";"517-89-71";"";"7802079329";"1037804019978";"";"";"svetlitsa@yandex.ru";"www.svetlitsa-art.spb.ru";"";"517-89-71";"";"";"";"";"";"муниципальный округ №16";
"Калининский";"Детский театр ""Аквариум""";"Санкт-Петербургская региональная общественная организация ""Художественно-театральное содружество ""Аквариум"". Детский театр ""Аквариум""";"Завадский С.В. (Старобинец Анна Борисовна)";"195267, г.Санкт-Петербург, проспект Просвещения, дом 87, корпус 1, литер А";"530-96-35, 590-42-59";"Касса: Четверг, Пятница 12.00-20.00. Суббота , Воскресенье 10.00-17.00";"7804060179";"1037858007120";"";"";"";"";"Филиал";"";"г.Санкт-Петербург, проспект Просвещения, дом 87";"";"Культурный центр Калининского района";"Гражданский проспект";"";"муниципальный округ №21";
"Приморский";"Театр ""За Черной Речкой""";"Автономная некоммерческая организация Санкт-Петербургский театр ""За Черной Речкой""";"Гвоздев Сергей Олегович";"197348, г.Санкт-Петербург, Богатырский проспект, дом 4, литер А";"394-69-08";"";"7814150760";"1037832053984";"";"";"teatp@hotmail.com";"www.teatp.spb.ru";"Основное и единственное";"394-69-08";"197348, г.Санкт-Петербург, Богатырский проспект, дом 4, литер А";"";"Приморский культурный центр";"Пионерская";"";"муниципальный округ №67";
"Приморский";"Театр кукол ""Светлячок""";"Театр кукол ""Светлячок""";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 4, литер А";"349-15-86, 772-60-18, +7 (921) 331 13 45";"";"7814150760";"1037832053984";"";"";"info@svetpuppet.ru";"http://www.svetpuppet.ru";"Филиал";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 4, литер А";"";"АНО ""Театр за Черной Речкой""";"Пионерская";"";"муниципальный округ №67";
"Петроградский";"Каменноостровский театр бального танца";"Каменноостровский театр бального танца";"Поважный Александр Геннадьевич";"197022, г.Санкт-Петербург, набережная реки Крестовки, дом 10, литер А";"234-6430";"";"7826031693";"1027810353746";"";"";"";"";"Филиал";"";"196084, г.Санкт-Петербург, улица Красуцкого, дом 4, литер А";"";"";"Крестовский остров";"Реставрируется";"муниципальный округ №63";
"Петроградский";"Театр ""Особняк""";"Театр ""Особняк"". Фонд развития культуры и искусства ""Особняк""";"Поднозов Дмитрий Владимирович";"197022, г.Санкт-Петербург, Каменноостровский проспект, дом 55, литер А";"234-25-31";"";"7810384622";"1037828000121";"";"";"teatr@osobnjak.ru";"www.osobnjak.ru";"Основное и единственное";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 55";"";"Издательский дом ""Атлант""";"Петроградская";"";"муниципальный округ №61";
"Петроградский";"Театр ""Русская антреприза"" им. Андрея Миронова";"Учреждение культуры Санкт-Петербургский театр ""Русская антреприза"" имени Андрея Миронова""";"Фурманов Рудольф Давыдович";"197022, г.Санкт-Петербург, Каменноостровский проспект, дом 35/75, литер А";"234-91-02, 346-16-70, 346-16-75, 346-16-76, 346-16-79";"";"7808039530";"1027809210285";"";"";"vesterholm@mironov-theatre.ru.";"www.mironov-theatre.ru";"Основное и единственное";"";"Санкт-Петербург, Загородный пр-кт, д. 26";"";"";"Петроградская";"";"муниципальный округ №61";
"Петроградский";"Драматический театр ""Остров""";"Некоммерческое учреждение культуры Драматический театр ""Остров""";"Болонин Александр Владимирович";"197101, г.Санкт-Петербург, Каменноостровский проспект, дом 26-28, литер А";"346-38-10, 346-43-43";"Касса работает с 15-19";"7813071787";"1027806878550";"80";"80";"ostrov@gorodok.net";"www.ostrov-teatr.spb.ru";"";"346-43-43";"7813071787";"";"Санкт-Петербургский центр искусств ""Остров";"«Петроградская»";"";"муниципальный округ №59";
"Петроградский";"Театр-фестиваль ""Балтийский дом""";"Санкт-Петербургское государственное учреждение культуры ""Театр-фестиваль Балтийский дом""";"Шуб Сергей Григорьевич";"197198, г.Санкт-Петербург, Александровский парк, дом 4,";"233-09-32";"";"7813046396";"1037828004312";"";"";"e-mail: fs@baltichouse.spb.ru";"www.baltichouse.spb.ru";"";"233-99-36";"197198, г.Санкт-Петербург, Александровский парк, дом 4,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ №59";
"Петроградский";"СПб ГУК ""Академический театр балета  Бориса Эйфмана""";"Санкт-Петербургское государственное учреждение культуры ""Академический театр балета под руководством Бориса Эйфмана""";"Эйфман Борис Яковлевич";"197198, г.Санкт-Петербург, улица Лизы Чайкиной, дом 2,";"2320235";"";"7813045201";"1027806889978";"";"";"eifman@inbox.ru";"www.eifmanballet.spb.ru";"";"2321862";"197198, г.Санкт-Петербург, улица Лизы Чайкиной, дом 2,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ Введенский";
"Василеостровский";"Драматический театр на Васильевском";"Ленинградское областное государственное бюджетное учреждение культуры ""Драматический театр на Васильевском""";"Словохотов Владимир Дмитриевич";"199178, г.Санкт-Петербург, Средний проспект В.О., дом 48/27, литер А";"321-59-96, 323-02-84, 323-66-83";"";"7801032078";"1037800044490";"";"";"satira-spb@rambler.ru";"www.satira.spb.ru";"Основное и единственное";"323-00-12";"Санкт-Петербург, Средний пр-кт, д. 48";"";"Комитет по культуре Правительства Ленинградской области";"Василеостровская";"";"муниципальный округ №7";
"Василеостровский";"Театр ""Комик-трест""";"Автономная некоммерческая организация Театральное товарищество ""Комик-трест""";"Фиссон Вадим Ильич";"199034, г.Санкт-Петербург, 8-я линия В.О., дом 31, литер А";"328-16-19";"";"7814083760";"1037832019752";"";"";"theatre@comic-trust.com";"www.comic-trust.com";"Основное и единственное";"328-16-19";"Санкт-Петербург, Авиаконструкторов пр-кт, д. 6, пом. 2";"";"Частный";"Василеостровская";"";"муниципальный округ №7";
"Василеостровский";"Национальный Кулинарный Театр";"Автономная неккомерческая организация ""Национальный Кулинарный Театр""";"Шахмаметьев Рашид Кяримович";"199034, г.Санкт-Петербург, 9-я линия В.О., дом 4, литер А";"321-79-99, 321-89-99, 321-90-99, 323-99-99";"";"7801222689";"1027800537203";"";"";"nkt@nha.ru, hp@bestrussia.ru";"www.nha.ru";"Основное и единственное";"";"Санкт-Петербург, 9-я линия, д. 4";"";"Частный";"Василеостровская";"";"муниципальный округ №7";
"Адмиралтейский";"Камерный музыкальный театр ""Санктъ-Петербургъ Опера""";"Санкт-Петербургсое государственное учреждение культуры ""Камерный музыкальный театр ""Санктъ-Петербургъ Опера""";"Александров Юрий Исаакович";"190000, г.Санкт-Петербург, Галерная улица, дом 33, литер А";"312-39-82, 315-67-69, 702-61-01, 314-09-55";"";"7812049482";"1027810322605";"";"";"spbopera@comlink.spb.ru";"www.spbopera.ru";"Основное, есть филиал";"";"";"";"Негосударственный";"";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Санктъ-Петербургъ Опера";"Санкт-Петербурсгкое государственное учреждение культуры ""Камерный музыкальный театр ""Санктъ-Петербургъ Опера""";"Александров Юрий Исаакович";"190000, г.Санкт-Петербург, Галерная улица, дом 4, помещение №9-н";"3140955";"";"7812049482";"1027810322605";"";"";"spbopera@comlink.spb.ru";"www.spbopera.ru";"Филиал";"3156769";"190000, г.Санкт-Петербург, Галерная улица, дом 33/35,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Оперный Театр Детей им. Г.П. Вишневской";"Автономная некоммерческая организация культуры ""Санкт-Петербургский Оперный Театр Детей им. Г.П. Вишневской""";"Андреева Мария Сергеевна";"190000, г.Санкт-Петербург, переулок Гривцова, дом 1/64, литер А";"+7 921 993-40-75, +7 921 937-22-92, 735-70-83";"";"7838333089";"1057812413845";"";"";"music@youthopera.ru";"http://www.youthopera.ru";"Основное и единственное";"";"г.Санкт-Петербург, переулок Гривцова, дом 1/64";"";"Частный";"Садовая, Сенная Площадь, Спасская";"Театр основан в 1999";"муниципальное образование Сенной округ";
"Приморский";"Гамма вокально-театральная студия";"Гамма вокально-театральная студия";"";"г.Санкт-Петербург, Торжковская улица, дом 30а, литер А";"492-01-96, 492-71-05, 492-72-16";"";"";"";"";"";"";"";"";"492-01-96";"";"";"";"";"";"муниципальный округ Черная речка";
"Центральный";"Эрмитажный театр";"Эрмитажный театр";"";"191186, г.Санкт-Петербург, Дворцовая набережная, дом 34, литер А";"272-96-82, 579-02-26, 966-37-76";"";"7830002416";"1037843031808";"";"";"rusballet@yandex.ru";"www.balet-spb.ru/date/ermit.ht";"Филиал";"272-96-82";"Санкт-Петербург, Дворцовая наб, д. 34";"";"Государственный Эрмитаж";"Невский проспект, Адмиралтейская (еще не открыта)";"";"муниципальное образование Дворцовый округ";
"Центральный";"Учебный театр ""На Моховой""";"Учебный театр ""На Моховой"" Санкт-Петербургской государственной академии театрального искусства";"Сундстрем Лев Геннадьевич";"191028, г.Санкт-Петербург, Моховая улица, дом 33-35, литер А";"273-04-32, 273-15-92, 579-36-11";"";"7803006161";"1037843065303";"";"";"";"";"Филиал";"273-04-32, 273-73-77";"Санкт-Петербург, Моховая ул, д. 34";"";"Санкт-Петербургская государственная академия театрального искусства";"Гостинный двор, Маяковская";"";"муниципальное образование Литейный округ";
"Центральный";"Музыкальный тетр Олега Погудина";"ООО Музыкальный тетр Олега Погудина";"Усанова Валентина Николаевна";"191028, г.Санкт-Петербург, Моховая улица, дом 26, литер А";"275-84-21";"";"7805353682";"1047855055742";"";"";"";"";"Основное и единственное";"";"Санкт-Петербург, Новоовсянниковская ул, д. 19, корп. 1, пом.10н";"";"Погудин Олег Евгеньевич";"Маяковская, Гостинный двор";"";"муниципальное образование Литейный округ";
"Центральный";"Фольклорный театр ""Этно""";"Муниципальное предприятие Фольклорный театр ""Этно""";"Шляхтов Юрий Иванович";"г.Санкт-Петербург, Гагаринская улица, дом 14, литер А (или Моховая ул., дом 3)";"579-33-28, 315-8240";"Касса-ежедневно с 16:00 до 19:00.";"7803026672";"1037843137562";"";"";"";"";"";"941-43-91";"Санкт-Петербург, Моховая ул, д. 3";"";"МО";"";"";"муниципальное образование Литейный округ";
"Центральный";"Михайловский театр";"Санкт-Петербургское государственное учреждение культуры ""Санкт-Петербургский государственный академический театр оперы и балета им. М.П.Мусоргского - МИХайловский театР""";"Кехман Владимир Абрамович";"191186, г.Санкт-Петербург, площадь Искусств, дом 1,";"5954119";"";"7830001525";"1027809224607";"";"";"info@mikhailovskiy.ru";"www.mikhailovsky.ru";"";"3147284";"191186, г.Санкт-Петербург, площадь Искусств, дом 1,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Ателье театр-студия пантомимы и пластики";"Ателье театр-студия пантомимы и пластики. ГУ Дворец учащейся молодежи Санкт-Петербурга";"";"191186, г.Санкт-Петербург, Малая Конюшенная улица, дом 1-3, литер В";"571-08-89, 571-30-96, 571-43-66";"Администрация 12.00-18.00, кроме сб, вс. Театр-студия: пн, ср, пт 16.00-21.00, вт, чт 18.00-21.00.";"7825431466";"1037843081880";"";"";"";"";"Филиал";"";"Санкт-Петербург, Конюшенная М. ул, д. 3";"";"Дворец учащейся молодежи Санкт-Петербурга";"Невский проспект, Гостинный двор";"";"муниципальное образование Дворцовый округ";
"Центральный";"Театр ""Бенефис""";"Государственное учреждение ""Санкт-Петербургский государственный театр ""Бенефис""";"Макридин Алексей Геннадьевич";"г.Санкт-Петербург, набережная реки Мойки, дом 24, литер А";"314-11-58, 314-07-36, 571-79-09";"";"7803030580";"1027809214971";"";"";"benefis@mail.rcom.ru";"";"";"314-07-36";"7803030580";"";"Комитет по культуре Администрации Санкт-Петербурга";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Центральный";"Театр ""Ювента""";"Театр ""Ювента"" Государственного педагогического университета им. А. И. Герцена";"Виктор Николаев";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 48-50-52, литер АК";"571-33-71";"";"7808027849";"1027809233429";"";"";"teatr@teatr-uventa.spb.ru";"www.teatr-uventa.spb.ru";"Филиал";"571-33-71";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 48";"";"Государственный педагогический университет им. А. И. Герцена";"Невский проспект";"";"муниципальный округ №78";
"Центральный";"Театр комедии им. Н.П.Акимова";"Санкт-Петербургское государственное учреждение культуры ""Академический театр комедии имени Н.П.Акимова""";"Казакова Татьяна Сергеевна";"191011, г.Санкт-Петербург, Невский проспект, дом 56, литера А, помещение №6н,11н,14н,23н-25н";"314-25-01";"";"7808030376";"1027809181542";"";"";"komediа@fromru.com";"www.komedia.spb.ru";"";"314-25-01";"191023, г.Санкт-Петербург, Невский проспект, дом 56, литера А, помещение №6н,11н,14н,23н-25н";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Санкт-Петербургский театр им. В.Ф.Комиссаржевской";"Санкт-Петербургское государственное учреждение культуры ""Академический драматический театр им. В.Ф.Комиссаржевской""";"Зайцев Вадим Игоревич";"191011, г.Санкт-Петербург, Невский проспект, дом 48, литер А";"315-53-55";"";"7808038086";"1027809234090";"";"";"teatr@teatrvfk.ru";"http://teatrvfk.ru";"Основное и единственное";"571-08-53";"191011, г.Санкт-Петербург, Итальянская улица, дом 19";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Театр музыкальной комедии";"Санкт-Петербургское государственное учреждение ""Санкт-Петербургский государственный театр музыкальной комедии""";"Шварцкопф Юрий Алексеевич";"191186, г.Санкт-Петербург, Итальянская улица, дом 13,";"5714495,5705";"";"7825334649";"1037843033436";"";"";"teatr@muzcomedy.spb.ru, biladm@muzcomedy.spb.ru";"www.spbmuzcomedy.com";"";"5705689,5714";"191011, г.Санкт-Петербург, Итальянская улица, дом 13,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Санкт-Петербургский театр марионеток";"Санкт-Петербургское государственное учреждение ""Санкт-Петербургский государственный театр марионеток им. Е.С. Деммени""";"Лунева Наталия Петровна";"191011, г.Санкт-Петербург, Садовая улица, дом 14/52, литер А, ( Невский проспект, дом 52)";"571-21-56, 571-19-00, 571-35-57";"";"7825337368";"1037843044491";"";"";"marionetki@demmeni.org";"www.demmeni.org";"Основное, есть филиал";"571-61-92";"191011, г.Санкт-Петербург, Невский проспект, дом 52,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Драматический театр ""Патриот РОСТО""";"Санкт-Петербургский драматический театр ""Патриот"" Российской оборонной спортивно-технической организации";"Егоров Геннадий Семенович";"191011, г.Санкт-Петербург, набережная реки Фонтанки, дом 7/4, литер А";"312-45-55, 571-53-28, 710-63-66";"";"7815017601";"1027809257959";"";"";"komedia@fromru.com";"www.komedia.spb.ru";"";"314-25-01";"Санкт-Петербург, КИМа пр-кт, д. 22";"";"Центральный Совет Российской оборонной спортивно-технической организации";"Приморская";"";"муниципальное образование Дворцовый округ";
"Центральный";"Александринский театр";"Федеральное государственное учреждение культуры ""Российский государственный академический театр драмы им. А.С. Пушкина (Александринский)""";"Сегеди Игорь Борисович";"191011, г.Санкт-Петербург, площадь Островского, дом 6, литер А";"380-80-50, 710-41-03, 571-12-12, 315-44-64, 311-58-78";"";"7808006670";"1037843017761";"";"";"";"www.alexandrinsky.ru";"";"";"191011, г.Санкт-Петербург, площадь Островского, дом 6, литер А";"";"Федеральное агентство по культуре и кинематографии";"";"";"муниципальный округ №78";
"Центральный";"Драматичексий театр ""На Литейном""";"Ленинградское областное государственное учреждение культуры Драматичексий театр ""На Литейном""";"Лобанов Андрей Сергеевич";"191104, г.Санкт-Петербург, Литейный проспект, дом 51, литер А";"272-61-88, 273-44-58, 273-53-35, 273-61-52, 273-63-63";"";"7825337939";"1027809231691";"";"";"";"";"";"";"191104, г.Санкт-Петербург, Литейный проспект, дом 51, литер А";"";"Комитет по Культуре правительства Ленинградской обл";"Маяковская, Площадь Восстания";"";"муниципальное образование Литейный округ";
"Центральный";"Малый драматический театр - Театр Европы";"Федеральное государственное учреждение культуры ""Академический Малый драматический театр - Театр Европы""";"Додин Лев Абрамович";"191002, г.Санкт-Петербург, улица Рубинштейна, дом 18/5, литер А";"713-20-28, 713-20-78, 713-20-94";"";"7808037195";"1027809232406";"";"";"";"www.mdt-dodin.ru";"";"";"Санкт-Петербург, Рубинштейна ул, д. 18";"";"Федеральное агентство по культуре и кинематографии";"Достоевская, Владимирская";"";"муниципальное образование Владимирский округ";
"Центральный";"Детский музыкальный театр ""Зазеркалье""";"Санкт-Петербургское государственное учреждение культуры ""Детский музыкальный театр ""Зазеркалье""";"Ганеев Евгений Яковлевич";"191002, г.Санкт-Петербург, улица Рубинштейна, дом 13,";"7124395";"";"7813046484";"1037843024603";"";"";"Е-mail:admin@zazerkal.spb.ru";"www.zazerkal.spb.ru";"Основное и единственное";"7120177";"191002, г.Санкт-Петербург, улица Рубинштейна, дом 13,";"ГИС СЦ";"Комитет по культуре";"Маяковская, Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
"Центральный";"Студия Евгении Зарицкой";"Студия Евгении Зарицкой";"";"191025, г.Санкт-Петербург, улица Рубинштейна, дом 15-17, литер А";"315-03-32";"";"7825470000";"1037843061860";"";"";"";"";"Филиал";"";"Санкт-Петербург, Рылеева ул, д. 7/9";"";"Дом детского творчества Центрального района ""Преображенский""";"Маяковская, Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
"Центральный";"Театр имени Ленсовета";"Государственное учреждение ""Санкт-Петербургский академический Театр имени Ленсовета""";"Градковкий Валерий Борисович";"191025, г.Санкт-Петербург, Владимирский проспект, дом 12, литера А,";"764-39-65";"";"7808045220";"1037843030202";"";"";"lensov@lensov-theatre.spb.ru";"www.lensov-theatre.spb.ru";"";"764-47-80";"191025, г.Санкт-Петербург, Владимирский проспект, дом 12, литера А,";"ГИС СЦ";"Комитет по культуре";"Маяковская, Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
